"","x"
"1",0.200733785230608
"2",0.200733785230608
"3",0.200733785230608
"4",0.200733785230608
"5",0.200733785230608
"6",0.200733785230608
"7",0.200733785230608
"8",0.200733785230608
"9",0.200733785230608
"10",0.200733785230608
"11",0.200733785230608
"12",0.200733785230608
"13",0.200733785230608
"14",0.200733785230608
"15",0.200733785230608
"16",0.200733785230608
"17",0.200733785230608
"18",0.200733785230608
"19",0.200733785230608
"20",0.200733785230608
"21",0.200733785230608
"22",0.200733785230608
"23",0.200733785230608
"24",0.200733785230608
"25",0.200733785230608
"26",0.200733785230608
"27",0.200733785230608
"28",0.200733785230608
"29",0.200733785230608
"30",0.200733785230608
"31",0.200733785230608
"32",0.200733785230608
"33",0.200733785230608
"34",0.200733785230608
"35",0.200733785230608
"36",0.200733785230608
"37",0.200733785230608
"38",0.200733785230608
"39",0.200733785230608
"40",0.200733785230608
"41",0.200733785230608
"42",0.200733785230608
"43",0.200733785230608
"44",0.200733785230608
"45",0.200733785230608
"46",0.200733785230608
"47",0.200733785230608
"48",0.200733785230608
"49",0.200733785230608
"50",0.200733785230608
"51",0.200733785230608
"52",0.200733785230608
"53",0.200733785230608
"54",0.200733785230608
"55",0.200733785230608
"56",0.200733785230608
"57",0.200733785230608
"58",0.200733785230608
"59",0.200733785230608
"60",0.200733785230608
"61",0.200733785230608
"62",0.200733785230608
"63",0.200733785230608
"64",0.200733785230608
"65",0.200733785230608
"66",0.200733785230608
"67",0.200733785230608
"68",0.200733785230608
"69",0.200733785230608
"70",0.200733785230608
"71",0.200733785230608
"72",0.200733785230608
"73",0.200733785230608
"74",0.200733785230608
"75",0.200733785230608
"76",0.200733785230608
"77",0.200733785230608
"78",0.200733785230608
"79",0.200733785230608
"80",0.200733785230608
"81",0.200733785230608
"82",0.200733785230608
"83",0.200733785230608
"84",0.200733785230608
"85",0.200733785230608
"86",0.200733785230608
"87",0.200733785230608
"88",0.200733785230608
"89",0.200733785230608
"90",0.200733785230608
"91",0.200733785230608
"92",0.200733785230608
"93",0.200733785230608
"94",0.200733785230608
"95",0.200733785230608
"96",0.200733785230608
"97",0.200733785230608
"98",0.200733785230608
"99",0.200733785230608
"100",0.200733785230608
"101",0.200733785230608
"102",0.200733785230608
"103",0.200733785230608
"104",0.200733785230608
"105",0.200733785230608
